Age,Breed1,Breed2,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,State,VideoAmt,PhotoAmt,BreedPure,ColorAmt,Adopted,LengthOfDescription,Sentiment,AdoptionSpeed
3,299,0,1,1,7,0,1,1,2,2,2,1,1,100,41326,0,1,1,2,1,359.0,0.96,2
1,265,0,1,1,2,0,2,2,3,3,3,1,1,0,41401,0,2,1,2,1,118.0,0.13,0
1,307,0,1,2,7,0,2,2,1,1,2,1,1,0,41326,0,7,0,2,1,393.0,0.76,3
4,307,0,2,1,2,0,2,1,1,1,2,1,1,150,41401,0,8,0,2,1,146.0,0.95,2
1,307,0,1,1,0,0,2,1,2,2,2,1,1,0,41326,0,3,0,1,1,390.0,0.99,2
3,266,0,2,5,6,0,2,1,2,2,2,1,1,0,41326,0,2,1,2,1,87.0,0.0,2
12,264,264,1,1,0,0,2,3,2,2,3,1,1,300,41326,0,3,1,1,1,400.0,0.91,1
0,307,0,2,1,2,7,2,1,2,2,2,1,6,0,41326,0,9,0,3,1,109.0,0.46,3
2,265,0,2,6,0,0,2,2,2,2,2,1,1,0,41326,0,6,1,1,1,79.0,0.53,1
12,265,0,2,1,7,0,2,2,3,3,3,1,1,0,41326,0,2,1,2,0,232.0,0.89,4
2,307,0,1,1,2,7,2,1,2,1,2,1,1,0,41401,0,7,0,3,1,68.0,0.67,1
3,264,0,2,1,2,5,3,3,1,1,2,1,1,50,41326,0,2,1,3,1,658.0,0.96,1
2,307,0,1,2,5,6,2,3,1,1,2,1,1,0,41326,0,1,0,3,1,345.0,0.97,2
2,265,0,3,1,6,7,1,2,2,2,3,1,7,0,41326,0,1,1,3,1,507.0,0.98,1
3,307,0,2,2,5,7,2,2,3,3,3,1,1,0,41401,0,2,0,3,1,485.0,-0.59,2
78,218,205,1,1,7,0,2,2,3,3,3,1,1,0,41326,0,2,0,2,0,355.0,0.9,4
6,266,0,2,2,0,0,1,1,1,1,1,1,1,0,41326,0,1,1,1,1,39.0,0.75,3
8,307,307,2,2,0,0,2,1,2,1,1,1,1,10,41330,0,2,0,1,0,390.0,0.75,4
2,307,0,2,1,0,0,2,1,2,1,2,1,1,0,41401,0,8,0,1,1,680.0,0.97,2
1,266,0,3,1,2,7,1,1,2,2,2,1,5,0,41326,0,1,1,3,0,529.0,0.97,4
12,307,0,2,2,7,0,2,2,2,1,1,1,1,0,41326,0,7,0,2,1,434.0,0.98,2
3,307,0,2,6,0,0,2,1,2,1,2,1,3,0,41326,0,5,0,1,0,94.0,0.0,4
0,114,0,3,3,6,7,2,2,2,2,3,1,10,0,41401,0,0,1,3,0,111.0,0.0,4
10,307,117,2,1,2,7,2,2,1,1,1,1,1,0,41326,0,0,0,3,0,339.0,0.65,4
3,266,0,1,2,7,0,1,1,2,1,2,1,1,0,41401,0,19,1,2,1,209.0,0.82,1
